id,kentAtlasiDegeriKodu,kentAtlasiDegeri,gecirimsizlikKatmani,tucbsNo,aciklama,gecerlilikBaslangici,gecerlilikSonu,gozlemTarihi,hilucsAraziKullanimi,hilucsDurumu,olcek,surumBaslangicZamani,surumBitisZamani,total_population,estimated_water_supply,population_pressure,urban_water_stress_score
sehirAtlasi.927,12150,Eğitim Alanları,0,CBSGM_1_7976628,,2019-06-11 00:00:00+00:00,,,,,1:10000,,,0.0,0.6468503932838129,0.0,0.0
sehirAtlasi.928,12150,Eğitim Alanları,16,CBSGM_1_7976629,,2019-06-12 00:00:00+00:00,,,,,1:10000,,,0.0,1.0452957853655835,0.0,0.0
sehirAtlasi.929,12160,Sağlık Alanları,0,CBSGM_1_7976630,,2019-06-12 00:00:00+00:00,,,,,1:10000,,,0.0,1.0268894746729187,0.0,0.0
sehirAtlasi.930,12150,Eğitim Alanları,0,CBSGM_1_7976631,,2019-06-12 00:00:00+00:00,,,,,1:10000,,,0.0,1.0483058098860414,0.0,0.0
sehirAtlasi.931,14200,Spor Ve Eğlence Alanları,0,CBSGM_1_7976632,,2019-06-12 00:00:00+00:00,,,,,1:10000,,,0.0,0.6204633585890016,0.0,0.0
sehirAtlasi.932,14100,Kent İçindeki Yeşil Alanlar ( Pasif ),0,CBSGM_1_7976633,,2019-06-12 00:00:00+00:00,,,,,1:10000,,,0.0,0.7063082363824247,0.0,0.0
sehirAtlasi.933,12150,Eğitim Alanları,0,CBSGM_1_7976634,,2019-11-14 00:00:00+00:00,,,,,1:10000,,,0.0,0.7566650580576024,0.0,0.0
sehirAtlasi.934,14200,Spor Ve Eğlence Alanları,0,CBSGM_1_7976635,,2019-11-14 00:00:00+00:00,,,,,1:10000,,,0.0,0.7574935000152423,0.0,0.0
sehirAtlasi.935,12170,İbadethane Alanları,0,CBSGM_1_7976636,,2019-06-12 00:00:00+00:00,,,,,1:10000,,,0.0,0.7424559686705067,0.0,0.0
sehirAtlasi.936,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976637,,2019-06-12 00:00:00+00:00,,,,,1:10000,,,0.0,0.6888291893382936,0.0,0.0
sehirAtlasi.937,14100,Kent İçindeki Yeşil Alanlar ( Pasif ),0,CBSGM_1_7976638,,2019-06-12 00:00:00+00:00,,,,,1:10000,,,0.0,0.6946177551648912,0.0,0.0
sehirAtlasi.909,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),0,CBSGM_1_7976609,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2031235415572115,0.0,0.0
sehirAtlasi.908,21010,Sera Alanları,0,CBSGM_1_7976608,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2171575835935164,0.0,0.0
sehirAtlasi.907,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976607,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2044152530426526,0.0,0.0
sehirAtlasi.906,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),0,CBSGM_1_7976606,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2033959155726137,0.0,0.0
sehirAtlasi.879,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976580,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2204226867907777,0.0,0.0
sehirAtlasi.880,33000,Bitki Örtüsü Az Ya da Olmayan Alanlar,0,CBSGM_1_7976581,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5266828280711302,0.0,0.0
sehirAtlasi.881,33000,Bitki Örtüsü Az Ya da Olmayan Alanlar,0,CBSGM_1_7976582,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5257892407217831,0.0,0.0
sehirAtlasi.882,33000,Bitki Örtüsü Az Ya da Olmayan Alanlar,0,CBSGM_1_7976583,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5250516890352576,0.0,0.0
sehirAtlasi.883,11300,İzole Yapılar,0,CBSGM_1_7976584,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5266200858122696,0.0,0.0
sehirAtlasi.884,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976585,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5166530118034116,0.0,0.0
sehirAtlasi.885,33000,Bitki Örtüsü Az Ya da Olmayan Alanlar,0,CBSGM_1_7976586,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5485197721198037,0.0,0.0
sehirAtlasi.886,32000,Maki veya Otsu Bitkiler,0,CBSGM_1_7976587,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.217391898788709,0.0,0.0
sehirAtlasi.887,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976588,,2019-11-15 00:00:00+00:00,,,,,1:10000,,,0.0,1.331758722380206,0.0,0.0
sehirAtlasi.888,11100,Sürekli Kentsel Alan (> 80%),33,CBSGM_1_1398987,,2019-02-25 00:00:00+00:00,,,,,1:10000,,,0.0,0.5632720718530283,0.0,0.0
sehirAtlasi.889,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976589,,2019-11-15 00:00:00+00:00,,,,,1:10000,,,0.0,1.3248299603230222,0.0,0.0
sehirAtlasi.890,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976590,,2019-11-15 00:00:00+00:00,,,,,1:10000,,,0.0,1.3175465833947968,0.0,0.0
sehirAtlasi.891,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976591,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2180267791739832,0.0,0.0
