id_1,adi,id_2,akifer,groundwater_sensitivity,id,istno,last1month,last3month,last6month,last12month,last24month,last9month,drought_severity,area,agricultural_area_pressure,drought_norm,groundwater_norm,final_water_stress_score,agricultural_water_stress_score
isletmesinirlari.90,BOZTEPE TİM,akifersinirlari.114344,Verimli,0.8,spikuraklikindeks.36.906300000000002.30.798999999999999,17300,-0.84,-1.41,-0.3,-1.63,-0.94,-1.68,0.7716666666666666,5481819.3551354315,0.015851444574702736,0.7462962962962962,1.0,0.6890036222482738,0.6890036222482738
isletmesinirlari.90,BOZTEPE TİM,akifersinirlari.119293,Verimli,0.8,spikuraklikindeks.36.906300000000002.30.798999999999999,17300,-0.84,-1.41,-0.3,-1.63,-0.94,-1.68,0.7716666666666666,5481819.3551354315,0.015851444574702736,0.7462962962962962,1.0,0.6890036222482738,0.6890036222482738
isletmesinirlari.90,BOZTEPE TİM,akifersinirlari.124594,Verimli,0.8,spikuraklikindeks.36.906300000000002.30.798999999999999,17300,-0.84,-1.41,-0.3,-1.63,-0.94,-1.68,0.7716666666666666,5481819.3551354315,0.015851444574702736,0.7462962962962962,1.0,0.6890036222482738,0.6890036222482738
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.2713,Verimli,0.8,spikuraklikindeks.40.666800000000002.35.835299999999997,17085,0.92,0.08,-0.54,-1.09,-0.55,-1.12,0.6816666666666666,1266481.269430683,0.003661761554927359,0.6462962962962963,1.0,0.6415656856443188,0.6415656856443188
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.2713,Verimli,0.8,spikuraklikindeks.40.879300000000001.35.458500000000001,17083,2.6,1.5,2.94,2.4,3.09,2.43,0.1,1266481.269430683,0.003661761554927359,0.0,1.0,0.35073235231098543,0.35073235231098543
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.2717,Verimli,0.8,spikuraklikindeks.40.666800000000002.35.835299999999997,17085,0.92,0.08,-0.54,-1.09,-0.55,-1.12,0.6816666666666666,60736.44070230807,0.00017505492165028285,0.6462962962962963,1.0,0.6408683443176634,0.6408683443176634
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.2717,Verimli,0.8,spikuraklikindeks.40.879300000000001.35.458500000000001,17083,2.6,1.5,2.94,2.4,3.09,2.43,0.1,60736.44070230807,0.00017505492165028285,0.0,1.0,0.35003501098433004,0.35003501098433004
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.2723,Verimli,0.8,spikuraklikindeks.40.666800000000002.35.835299999999997,17085,0.92,0.08,-0.54,-1.09,-0.55,-1.12,0.6816666666666666,1653700.2224413434,0.004781500043390762,0.6462962962962963,1.0,0.6417896333420116,0.6417896333420116
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.2723,Verimli,0.8,spikuraklikindeks.40.879300000000001.35.458500000000001,17083,2.6,1.5,2.94,2.4,3.09,2.43,0.1,1653700.2224413434,0.004781500043390762,0.0,1.0,0.3509563000086781,0.3509563000086781
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.3775,Sınırlı Verimli,0.5,spikuraklikindeks.40.666800000000002.35.835299999999997,17085,0.92,0.08,-0.54,-1.09,-0.55,-1.12,0.6816666666666666,88790.11155620568,0.0002561789853190576,0.6462962962962963,0.4999999999999999,0.4658845691303971,0.4658845691303971
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.3775,Sınırlı Verimli,0.5,spikuraklikindeks.40.879300000000001.35.458500000000001,17083,2.6,1.5,2.94,2.4,3.09,2.43,0.1,88790.11155620568,0.0002561789853190576,0.0,0.4999999999999999,0.17505123579706378,0.17505123579706378
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.81660,Verimsiz,0.2,spikuraklikindeks.40.666800000000002.35.835299999999997,17085,0.92,0.08,-0.54,-1.09,-0.55,-1.12,0.6816666666666666,4874391.882804397,0.014094919191761647,0.6462962962962963,0.0,0.29365231717168566,0.29365231717168566
isletmesinirlari.91,GÖKHÖYÜK TİM,akifersinirlari.81660,Verimsiz,0.2,spikuraklikindeks.40.879300000000001.35.458500000000001,17083,2.6,1.5,2.94,2.4,3.09,2.43,0.1,4874391.882804397,0.014094919191761647,0.0,0.0,0.0028189838383523296,0.0028189838383523296
